목록키,목록유형,목록명,파일데이터명,분류체계,제공기관코드,제공기관,관리 부서명,관리부서 전화번호,보유근거,수집방법,업데이트 주기,차기 등록 예정일,매체유형,전체행,확장자(데이터포맷),키워드,다운로드_활용신청건수,등록일,수정일,데이터 한계,제공형태,설명,기타 유의사항,공간범위,시간범위,비용부과유무,비용부과기준 및 단위,이용허락범위,API 유형,신청가능 트래픽,심의 유형,조회수,목록 URL,국가중점여부,표준데이터여부,대분류,목록키_str,활용신청_URL,시나리오,dl
15095902,FILE,인천광역시_도로 내 IMU 센서,인천광역시_도로 내 IMU 센서_20211130,교통물류 - 도로,6280000,인천광역시,AI혁신과,`0324402105,-,-,수시,-,텍스트,26098329,CSV,"도로,IMU,IOT,안전관리,교통",135778,2021-12-10,2025-12-02,-,공공데이터포털에서 다운로드(원문파일등록),인천광역시가 제공하는 도로 내 IMU(Inertial Measurement Unit) 센서 데이터는 택시에 장착된 IoT 디바이스를 통해 수집된 차량의 움직임 및 도로 상태 정보를 체계적으로 기록한 자료입니다<br/>항목 : 센서명 / 시간 / 위도 / 경도 / 지오해시 / 시 / 군구 / 법정동 / 가속도엑스축(m/s^2) / 가속도와이축(m/s^2) / 가속도제트축(m/s^2) / 자이로엑스축(degree/s) / 자이로와이축(degree/s) / 자이로제트축(degree/s) / 마그네틱엑스축(uT) / 마그네틱와이축(uT) / 마그네틱제트축(uT),"대용량 데이터이기 때문에 엑셀로는 일부 데이터만 확인할 수 있습니다. 별도의 분석용 도구(R, Python, SPSS 등)를 활용하시기 바랍니다.",-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,9866,https://www.data.go.kr/data/15095902/fileData.do,N,N,교통물류,15095902,https://www.data.go.kr/data/15095902/fileData.do,시나리오1_응급대응_실시간교통,135778
15095903,FILE,인천광역시_도로 내 운행속도,인천광역시_도로 내 운행속도_20211130,교통물류 - 도로,6280000,인천광역시,AI혁신과,`0324402105,-,-,수시,-,텍스트,49277898,CSV,"도로,운행속도,IOT,교통흐름,차량",45590,2021-12-10,2025-12-02,-,공공데이터포털에서 다운로드(원문파일등록),"인천광역시가 제공하는 도로 내 운행속도 현황 공공데이터는 택시에 장착된 IoT(사물인터넷) 디바이스를 통해 실시간으로 수집된 차량의 운행 속도 정보입니다. 이 데이터는 차량 이동 경로를 따라 구간별 실제 통행 속도를 정밀하게 파악하고, 교통 흐름 분석, 혼잡 구간 예측, 도로 교통 정책 수립 및 지능형 교통 시스템(ITS) 구축의 기초 자료로 활용됩니다.<br/>항목 : 센서명 / 시간 / 위도 / 경도 / 지오해시 / 시 / 군구 / 법정동 / 운행속도(km/h)<br/>해당 데이터는 공공데이터포털에서 무료로 확인할 수 있습니다. 참고바랍니다.","대용량 데이터이기 때문에 엑셀로는 일부 데이터만 확인할 수 있습니다. 별도의 분석용 도구(R, Python, SPSS 등)를 활용하시기 바랍니다.",-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,5625,https://www.data.go.kr/data/15095903/fileData.do,N,N,교통물류,15095903,https://www.data.go.kr/data/15095903/fileData.do,시나리오1_응급대응_실시간교통,45590
15001549,FILE,한국교육과정평가원 대학수학능력시험 정보,한국교육과정평가원 대학수학능력시험 정보_20191219,교육 - 교육일반,B090007,한국교육과정평가원,기획조정본부,`0439310535,-,-,수시,-,텍스트,1,hwpx,"접수현황,응시현황,채점현황",26217,2015-12-28,2023-10-18,-,공공데이터포털에서 다운로드(원문파일등록),"연도별(1994학년도 ~ 2020학년도) 대학수학능력시험 응시원서 접수현황, 응시현황, 채점현황 등에 대한 통계 자료<br/><br/><br/>※ 2021학년도 이후 데이터는 아래 링크를 통해 확인 가능합니다.<br/><br/> - 대학수학능력시험 연도별 접수현황: https://www.data.go.kr/data/15098903/fileData.do<br/><br/> - 대학수학능력시험 연도별 응시현황: https://www.data.go.kr/data/15098904/fileData.do<br/><br/> - 대학수학능력시험 연도별 채점현황: https://www.data.go.kr/data/15080201/fileData.do<br/><br/> - 대학수학능력시험 표준점수-도수분포:  https://www.data.go.kr/data/15080195/fileData.do<br/><br/> - 대학수학능력시험 등급구분-표준점수: https://www.data.go.kr/data/15080193/fileData.do<br/><br/> - 대학수학능력시험 모의평가 표준점수_도수분포:  https://www.data.go.kr/data/15080190/fileData.do<br/><br/> - 대학수학능력시험 모의평가 등급구분_표준점수: https://www.data.go.kr/data/15080188/fileData.do",-,-,-,무료,건 ,"공공저작물 : 출처표시, 상업적 이용금지 (제 2유형)",-,-,-,22055,https://www.data.go.kr/data/15001549/fileData.do,N,N,교육,15001549,https://www.data.go.kr/data/15001549/fileData.do,시나리오1_응급대응_실시간교통,26217
15069790,FILE,제주특별자치도_성연령별_제주도민_지번(PNU)단위_유동인구현황,제주특별자치도_성연령별_제주도민_지번(PNU)단위_유동인구현황_20151130,문화관광 - 관광,6500000,제주특별자치도,디지털혁신과,`0647102584,-,-,수시,-,텍스트,4,csv,"빅데이터,체류인구,인구밀도,상권분석,혼잡도,성별,도민,주소",25876,2017-05-15,2025-07-15,-,공공데이터포털에서 다운로드(원문파일등록),"2015~2016년도 시점의 제주특별자치도 성연령별 제주도민 지번(PNU)단위 유동인구 현황입니다.<br/>유동인구란 일정 시간 동안 해당 지역을 방문하거나 이동한 사람들의 수를 말합니다. <br/><br/>* PNU : 지번코드 (총19자리, 10자리-동리단위법정코드 + 1자리-일반/산 지번구분 + 4자리-본번 + 4자리-부번)<br/>* 데이터 구분자 : """"|""""<br/>* 특이사항1 : 유동인구 추정과정에서 비율을 사용하여 유동인구 수가 소수점으로 표현됨<br/>* 특이사항2 : 유동인구는 단위지역에서 이동이 있는 개념으로 인구수와 달리 중복 카운트가 발생함<br/><br/>※ 파일 다운로드 시 데이터에 대한 설명 txt 파일이 포함되어 있습니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,10686,https://www.data.go.kr/data/15069790/fileData.do,N,N,문화관광,15069790,https://www.data.go.kr/data/15069790/fileData.do,시나리오1_응급대응_실시간교통,25876
15069890,FILE,제주특별자치도_시간대별_제주도민_지번(PNU)단위_유동인구현황,제주특별자치도_시간대별_제주도민_지번(PNU)단위_유동인구현황_20151130,문화관광 - 관광,6500000,제주특별자치도,디지털혁신과,`0647102584,-,-,수시,-,텍스트,4,csv,"빅데이터,체류인구,인구밀도,상권분석,혼잡도,시간별,현지인,주소",24499,2017-09-28,2025-07-15,-,공공데이터포털에서 다운로드(원문파일등록),"2015~2016년도 시점의 제주특별자치도 시간대별 제주도민_지번(PNU)단위 유동인구 현황입니다.<br/>유동인구란 일정 시간 동안 해당 지역을 방문하거나 이동한 사람들의 수를 말합니다. <br/><br/>* PNU : 지번코드 (총19자리, 10자리-동리단위법정코드 + 1자리-일반/산 지번구분 + 4자리-본번 + 4자리-부번)<br/>* 데이터 구분자 : """"|""""<br/>* 특이사항1 : 유동인구 추정과정에서 비율을 사용하여 유동인구 수가 소수점으로 표현됨<br/>* 특이사항2 : 유동인구는 단위지역에서 이동이 있는 개념으로 인구수와 달리 중복 카운트가 발생함<br/><br/>※ 파일 다운로드 시 데이터에 대한 설명 txt 파일이 포함되어 있습니다.",PNU는 지적도 및 개별공시지가 등에서 사용하는 개별 필지의 고유코드를 이르는 단어 (한국토지정보시스템에서 사용),-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,10116,https://www.data.go.kr/data/15069890/fileData.do,N,N,문화관광,15069890,https://www.data.go.kr/data/15069890/fileData.do,시나리오1_응급대응_실시간교통,24499
15069952,FILE,제주특별자치도_성연령별_관광객_지번(PNU)단위_유동인구현황,제주특별자치도_성연령별_관광객_지번(PNU)단위_유동인구현황_20151130,문화관광 - 관광,6500000,제주특별자치도,디지털혁신과,`0647102584,-,-,수시,-,텍스트,4,csv,"빅데이터,체류인구,인구밀도,상권분석,혼잡도,성별,연령대,주소",23384,2017-11-17,2025-07-15,-,공공데이터포털에서 다운로드(원문파일등록),"2015~2016년도 시점의 제주특별자치도 성연령별 관광객 지번(PNU)단위 유동인구 현황입니다.<br/>유동인구란 일정 시간 동안 해당 지역을 방문하거나 이동한 사람들의 수를 말합니다. <br/><br/>* PNU : 지번코드 (총19자리, 10자리-동리단위법정코드 + 1자리-일반/산 지번구분 + 4자리-본번 + 4자리-부번)<br/>* 데이터 구분자 : """"|""""<br/>* 특이사항1 : 유동인구 추정과정에서 비율을 사용하여 유동인구 수가 소수점으로 표현됨<br/>* 특이사항2 : 유동인구는 단위지역에서 이동이 있는 개념으로 인구수와 달리 중복 카운트가 발생함<br/><br/>※ 파일 다운로드 시 데이터에 대한 설명 txt 파일이 포함되어 있습니다.",PNU는 지적도 및 개별공시지가 등에서 사용하는 개별 필지의 고유코드를 이르는 단어 (한국토지정보시스템에서 사용),-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,17245,https://www.data.go.kr/data/15069952/fileData.do,N,N,문화관광,15069952,https://www.data.go.kr/data/15069952/fileData.do,시나리오1_응급대응_실시간교통,23384
15070045,FILE,제주특별자치도_시간대별_관광객_지번(PNU)단위_유동인구현황,제주특별자치도_시간대별_관광객_지번(PNU)단위_유동인구현황_20151231,문화관광 - 관광,6500000,제주특별자치도,디지털혁신과,`0647102584,-,-,수시,-,텍스트,4,csv,"빅데이터,체류인구,인구밀도,상권분석,혼잡도,시간별,방문객,주소",23130,2017-11-13,2025-07-15,-,공공데이터포털에서 다운로드(원문파일등록),"2015~2016년도 시점의 제주특별자치도 시간대별 관광객 지번(PNU)단위 유동인구 현황입니다.<br/>유동인구란 일정 시간 동안 해당 지역을 방문하거나 이동한 사람들의 수를 말합니다. <br/><br/>* PNU : 지번코드 (총19자리, 10자리-동리단위법정코드 + 1자리-일반/산 지번구분 + 4자리-본번 + 4자리-부번)<br/>* 데이터 구분자 : """"|""""<br/>* 특이사항1 : 유동인구 추정과정에서 비율을 사용하여 유동인구 수가 소수점으로 표현됨<br/>* 특이사항2 : 유동인구는 단위지역에서 이동이 있는 개념으로 인구수와 달리 중복 카운트가 발생함<br/><br/>※ 파일 다운로드 시 데이터에 대한 설명 txt 파일이 포함되어 있습니다.",PNU는 지적도 및 개별공시지가 등에서 사용하는 개별 필지의 고유코드를 이르는 단어 (한국토지정보시스템에서 사용),-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,17610,https://www.data.go.kr/data/15070045/fileData.do,N,N,문화관광,15070045,https://www.data.go.kr/data/15070045/fileData.do,시나리오1_응급대응_실시간교통,23130
15149625,FILE,경상남도 거제시_시립도서관 도서정보,경상남도 거제시_시립도서관 도서정보_20250830,공공행정 - 일반행정,5370000,경상남도 거제시,정보통신과,`0556394012,-,-,수시,-,텍스트,166038,csv,"ISBN,도서명,도서상세페이지 링크,저자,정가,이미지 경로",22604,2025-09-16,2025-09-24,-,공공데이터포털에서 다운로드(원문파일등록),"이 데이터는 경상남도 거제시 시립도서관이 보유한 다양한 도서 정보를 체계적으로 관리한 자료입니다. 도서명, 저자, ISBN, 출판일, 정가, 할인 금액, 도서 상세 링크, 표지 이미지 등 도서 관련 주요 정보를 포함하고 있어 이용자가 쉽게 도서 내용을 확인할 수 있습니다. 도서 설명을 통해 각 도서의 특성과 내용을 파악할 수 있으며, 온라인 도서 상세 페이지와 연계되어 편리한 접근을 지원합니다. 출판사 및 등록 관련 일부 정보는 현재 입력되지 않은 상태이나, 본 데이터는 도서관의 자료 관리와 이용자 맞춤형 서비스 제공에 중요한 역할을 합니다. 이를 통해 시민들은 다양한 도서를 효과적으로 탐색하고 이용할 수 있습니다. 지속적인 데이터 관리로 더욱 완성도 높은 도서 정보 서비스 제공이 기대됩니다.",출판사와 등록·수정 관련 일부 정보는 별도 관리되거나 아직 입력되지 않아 비어 있습니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,233,https://www.data.go.kr/data/15149625/fileData.do,N,N,공공행정,15149625,https://www.data.go.kr/data/15149625/fileData.do,시나리오1_응급대응_실시간교통,22604
15112707,FILE,서울특별시 동대문구_공공도서관 전자책 보유 현황,서울특별시 동대문구_공공도서관 전자책 보유 현황_20230310,문화관광 - 문화예술,3050000,서울특별시 동대문구,정책관리관,`0221275601,-,-,수시,-,텍스트,11756,csv,"도서관,오디오북,전자책",21674,2023-03-10,2023-03-10,-,공공데이터포털에서 다운로드(원문파일등록),"서울특별시 동대문구 공공도서관 전자책(오디오북/ebook) 보유 현황 데이터 입니다.<br/><br/>*도서관명(도서관부호)<br/>동대문구정보화도서관(111065), 동대문구답십리도서관(111445), 휘경어린이도서관(111446), <br/>배봉산숲속도서관(111490), 동대문책마당도서관(711427), 이문체육문화센터어린이도서관(111053)",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,1132,https://www.data.go.kr/data/15112707/fileData.do,N,N,문화관광,15112707,https://www.data.go.kr/data/15112707/fileData.do,시나리오1_응급대응_실시간교통,21674
15070038,FILE,제주특별자치도_시간대별_관광객_300그리드단위_유동인구현황,제주특별자치도_시간대별_관광객_300그리드단위_유동인구현황_20140228,문화관광 - 관광,6500000,제주특별자치도,디지털혁신과,`0647102584,-,-,수시,-,텍스트,1,CSV,"빅데이터,체류인구,인구밀도,상권분석,혼잡도,혼잡도 시간별,방문객,300격자",17648,2017-11-09,2025-07-15,-,공공데이터포털에서 다운로드(원문파일등록),"2015~2016년도 시점의 제주특별자치도 시간대별 관광객 300그리드단위 유동인구 현황입니다.<br/>유동인구란 일정 시간 동안 해당 지역을 방문하거나 이동한 사람들의 수를 말합니다. <br/><br/>* 그리드(Grid) : 격자 단위 (본 데이터는 300m × 300m 크기의 격자(grid)를 사용함)<br/>* 데이터 구분자 : """"|""""<br/>* 특이사항1 : 유동인구 추정과정에서 비율을 사용하여 유동인구 수가 소수점으로 표현됨<br/>* 특이사항2 : 유동인구는 단위지역에서 이동이 있는 개념으로 인구수와 달리 중복 카운트가 발생함<br/><br/>※ 파일 다운로드 시 데이터에 대한 설명 txt 파일이 포함되어 있습니다.","첨부된 GIS 파일은 QGIS(뷰, 편집, 분석을 제공하는 크로스 플랫폼 자유-오픈 소스 데스크톱 지리 정보 체계(GIS)응용 프로그램) 등 무료로 사용할 수 있는 프로그램을 활용하여 확인 할 수 있습니다.",-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,18552,https://www.data.go.kr/data/15070038/fileData.do,N,N,문화관광,15070038,https://www.data.go.kr/data/15070038/fileData.do,시나리오1_응급대응_실시간교통,17648
