antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,분류,priority,rank,도메인_목록
frozenset({'유형=FILE'}),frozenset({'표준=N'}),0.8711614860848983,0.9968718392542465,0.8711614860848983,1.0,1.0031379768417308,1.0,0.00272513316398304,inf,0.024279702168986356,0.8738951706536405,1.0,0.9369475853268203,유형=FILE,표준=N,BR,0.8738951706536405,1,[]
frozenset({'유형=FILE'}),"frozenset({'국가중점=N', '표준=N'})",0.8711614860848983,0.9578428203497283,0.8547803509796357,0.9811962129100985,1.0243812367376135,1.0,0.020344576168016104,2.241951552031347,0.18473467018890494,0.8773961533109996,0.5539600313423643,0.9367988467119619,유형=FILE,국가중점=N AND 표준=N,BR,0.8591559631024416,2,[]
"frozenset({'국가중점=N', '유형=FILE'})",frozenset({'표준=N'}),0.8547803509796357,0.9968718392542465,0.8547803509796357,1.0,1.0031379768417308,1.0,0.002673890340175955,inf,0.021540891792920555,0.8574626319257764,1.0,0.9287313159628882,국가중점=N AND 유형=FILE,표준=N,BR,0.8574626319257763,3,[]
"frozenset({'표준=N', '유형=FILE'})",frozenset({'국가중점=N'}),0.8711614860848983,0.9609709810954818,0.8547803509796357,0.9811962129100985,1.0210466623992749,1.0,0.017619443004032953,2.0755935343194007,0.1599896682723393,0.8745879164844075,0.5182101006457867,0.9353463703439382,유형=FILE AND 표준=N,국가중점=N,BR,0.8563592314517174,4,[]
frozenset({'유형=FILE'}),frozenset({'국가중점=N'}),0.8711614860848983,0.9609709810954818,0.8547803509796357,0.9811962129100985,1.0210466623992749,1.0,0.017619443004032953,2.0755935343194007,0.1599896682723393,0.8745879164844075,0.5182101006457867,0.9353463703439382,유형=FILE,국가중점=N,BR,0.8563592314517174,4,[]
frozenset({'형식=CSV'}),"frozenset({'표준=N', '유형=FILE'})",0.6992794803082281,0.8711614860848983,0.6992794803082281,1.0,1.1478928028534836,1.0,0.09009412905423675,inf,0.42843273231622747,0.8026978826289393,1.0,0.9013489413144697,형식=CSV,유형=FILE AND 표준=N,BR,0.8026978826289393,7,[]
"frozenset({'형식=CSV', '표준=N'})",frozenset({'유형=FILE'}),0.6992794803082281,0.8711614860848983,0.6992794803082281,1.0,1.1478928028534836,1.0,0.09009412905423675,inf,0.42843273231622747,0.8026978826289393,1.0,0.9013489413144697,표준=N AND 형식=CSV,유형=FILE,BR,0.8026978826289393,7,[]
frozenset({'형식=CSV'}),frozenset({'유형=FILE'}),0.6992794803082281,0.8711614860848983,0.6992794803082281,1.0,1.1478928028534836,1.0,0.09009412905423675,inf,0.42843273231622747,0.8026978826289393,1.0,0.9013489413144697,형식=CSV,유형=FILE,BR,0.8026978826289393,7,[]
"frozenset({'형식=CSV', '국가중점=N'})",frozenset({'유형=FILE'}),0.6867564101227281,0.8711614860848983,0.6867564101227281,1.0,1.1478928028534836,1.0,0.08848067530188242,inf,0.41130455044772146,0.7883227404933748,1.0,0.8941613702466875,국가중점=N AND 형식=CSV,유형=FILE,BR,0.7883227404933749,10,[]
"frozenset({'형식=CSV', '국가중점=N'})","frozenset({'표준=N', '유형=FILE'})",0.6867564101227281,0.8711614860848983,0.6867564101227281,1.0,1.1478928028534836,1.0,0.08848067530188242,inf,0.41130455044772146,0.7883227404933748,1.0,0.8941613702466875,국가중점=N AND 형식=CSV,유형=FILE AND 표준=N,BR,0.7883227404933749,10,[]
"frozenset({'형식=CSV', '국가중점=N', '표준=N'})",frozenset({'유형=FILE'}),0.6867564101227281,0.8711614860848983,0.6867564101227281,1.0,1.1478928028534836,1.0,0.08848067530188242,inf,0.41130455044772146,0.7883227404933748,1.0,0.8941613702466875,국가중점=N AND 표준=N AND 형식=CSV,유형=FILE,BR,0.7883227404933749,10,[]
"frozenset({'국가중점=N', '표준=N'})",frozenset({'유형=FILE'}),0.9578428203497283,0.8711614860848983,0.8547803509796357,0.8924014805138254,1.0243812367376135,1.0,0.020344576168016104,1.197400433856864,0.5645762020415799,0.8773961533109996,0.16485749317881157,0.9367988467119619,국가중점=N AND 표준=N,유형=FILE,BI,0.7814054348935303,12,[]
frozenset({'국가중점=N'}),"frozenset({'표준=N', '유형=FILE'})",0.9609709810954818,0.8711614860848983,0.8547803509796357,0.8894965277777778,1.0210466623992749,1.0,0.017619443004032953,1.165922765358972,0.5281411544678124,0.8745879164844075,0.1423102544085643,0.9353463703439382,국가중점=N,유형=FILE AND 표준=N,BI,0.7763264399967083,13,[]
frozenset({'국가중점=N'}),frozenset({'유형=FILE'}),0.9609709810954818,0.8711614860848983,0.8547803509796357,0.8894965277777778,1.0210466623992749,1.0,0.017619443004032953,1.165922765358972,0.5281411544678124,0.8745879164844075,0.1423102544085643,0.9353463703439382,국가중점=N,유형=FILE,BI,0.7763264399967083,13,[]
frozenset({'형식=CSV'}),"frozenset({'국가중점=N', '표준=N', '유형=FILE'})",0.6992794803082281,0.8547803509796357,0.6867564101227281,0.9820914662332434,1.1489401518269584,1.0,0.08902605051200374,8.10896363218377,0.43107349642220444,0.7918294720896402,0.8766796787654729,0.8927608692540278,형식=CSV,국가중점=N AND 유형=FILE AND 표준=N,BR,0.7749114285613842,16,[]
frozenset({'형식=CSV'}),"frozenset({'국가중점=N', '유형=FILE'})",0.6992794803082281,0.8547803509796357,0.6867564101227281,0.9820914662332434,1.1489401518269584,1.0,0.08902605051200374,8.10896363218377,0.43107349642220444,0.7918294720896402,0.8766796787654729,0.8927608692540278,형식=CSV,국가중점=N AND 유형=FILE,BR,0.7749114285613842,16,[]
